Date,LMP,HUB
10/25/2018 12:00:00 AM,22.62,ILLINOIS.HUB
10/25/2018 12:00:00 AM,23.86,INDIANA.HUB
10/25/2018 12:00:00 AM,24.57,MICHIGAN.HUB
10/25/2018 12:00:00 AM,21.24,MINN.HUB
10/25/2018 12:00:00 AM,21.82,ARKANSAS.HUB
10/25/2018 12:00:00 AM,22.49,LOUISIANA.HUB
10/25/2018 12:00:00 AM,22.22,MS.HUB
10/25/2018 12:00:00 AM,22.67,TEXAS.HUB
10/25/2018 2:00:00 AM,23.43,ILLINOIS.HUB
10/25/2018 2:00:00 AM,24.61,INDIANA.HUB
10/25/2018 2:00:00 AM,25.21,MICHIGAN.HUB
10/25/2018 2:00:00 AM,21.81,MINN.HUB
10/25/2018 2:00:00 AM,22.53,ARKANSAS.HUB
10/25/2018 2:00:00 AM,23.07,LOUISIANA.HUB
10/25/2018 2:00:00 AM,22.85,MS.HUB
10/25/2018 2:00:00 AM,23.25,TEXAS.HUB
10/25/2018 3:00:00 AM,24.11,MS.HUB
10/25/2018 3:00:00 AM,25.21,TEXAS.HUB
10/25/2018 3:00:00 AM,67.26,ILLINOIS.HUB
10/25/2018 3:00:00 AM,71,INDIANA.HUB
10/25/2018 3:00:00 AM,72.73,MICHIGAN.HUB
10/25/2018 3:00:00 AM,62.75,MINN.HUB
10/25/2018 3:00:00 AM,23.35,ARKANSAS.HUB
10/25/2018 3:00:00 AM,24.64,LOUISIANA.HUB
10/25/2018 4:00:00 AM,23.86,ILLINOIS.HUB
10/25/2018 4:00:00 AM,25.31,INDIANA.HUB
10/25/2018 4:00:00 AM,25.92,MICHIGAN.HUB
10/25/2018 4:00:00 AM,22.25,MINN.HUB
10/25/2018 4:00:00 AM,22.56,ARKANSAS.HUB
10/25/2018 4:00:00 AM,23.28,LOUISIANA.HUB
10/25/2018 4:00:00 AM,23.2,MS.HUB
10/25/2018 4:00:00 AM,23.42,TEXAS.HUB
10/25/2018 5:00:00 AM,25.88,ILLINOIS.HUB
10/25/2018 5:00:00 AM,27.53,INDIANA.HUB
10/25/2018 5:00:00 AM,28.09,MICHIGAN.HUB
10/25/2018 5:00:00 AM,24.43,MINN.HUB
10/25/2018 5:00:00 AM,24.52,ARKANSAS.HUB
10/25/2018 5:00:00 AM,25.4,LOUISIANA.HUB
10/25/2018 5:00:00 AM,25.35,MS.HUB
10/25/2018 5:00:00 AM,25.53,TEXAS.HUB
10/25/2018 6:00:00 AM,38.83,ILLINOIS.HUB
10/25/2018 6:00:00 AM,41.26,INDIANA.HUB
10/25/2018 6:00:00 AM,42.19,MICHIGAN.HUB
10/25/2018 6:00:00 AM,36.56,MINN.HUB
10/25/2018 6:00:00 AM,33.78,ARKANSAS.HUB
10/25/2018 6:00:00 AM,36.04,LOUISIANA.HUB
10/25/2018 6:00:00 AM,37.49,MS.HUB
10/25/2018 6:00:00 AM,35.11,TEXAS.HUB
10/25/2018 7:00:00 AM,33.7,ARKANSAS.HUB
10/25/2018 7:00:00 AM,40.9,ILLINOIS.HUB
10/25/2018 7:00:00 AM,42.99,INDIANA.HUB
10/25/2018 7:00:00 AM,35.8,LOUISIANA.HUB
10/25/2018 7:00:00 AM,43.91,MICHIGAN.HUB
10/25/2018 7:00:00 AM,39.94,MINN.HUB
10/25/2018 7:00:00 AM,37.92,MS.HUB
10/25/2018 7:00:00 AM,34.38,TEXAS.HUB
10/25/2018 8:00:00 AM,30.73,ARKANSAS.HUB
10/25/2018 8:00:00 AM,37.7,ILLINOIS.HUB
10/25/2018 8:00:00 AM,39.4,INDIANA.HUB
10/25/2018 8:00:00 AM,32.01,LOUISIANA.HUB
10/25/2018 8:00:00 AM,40.26,MICHIGAN.HUB
10/25/2018 8:00:00 AM,37.59,MINN.HUB
10/25/2018 8:00:00 AM,33.45,MS.HUB
10/25/2018 8:00:00 AM,30.96,TEXAS.HUB
10/25/2018 9:00:00 AM,32.42,ARKANSAS.HUB
10/25/2018 9:00:00 AM,39.39,ILLINOIS.HUB
10/25/2018 9:00:00 AM,40.93,INDIANA.HUB
10/25/2018 9:00:00 AM,34.19,LOUISIANA.HUB
10/25/2018 9:00:00 AM,41.9,MICHIGAN.HUB
10/25/2018 9:00:00 AM,39.64,MINN.HUB
10/25/2018 9:00:00 AM,36.37,MS.HUB
10/25/2018 9:00:00 AM,32.73,TEXAS.HUB
