SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4250 N Marine Dr #724,Chicago,IL,60613,142500,1,1.0,CHI - Uptown,906,,1962,7,157,509,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-724/home/13396912,MRED,11234006,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,3825 N Wilton Ave #2,Chicago,IL,60613,469900,3,2.0,CHI - Lake View,,,1901,7,,128,Active,,,http://www.redfin.com/IL/Chicago/3825-N-Wilton-Ave-60613/unit-2/home/13384293,MRED,11235059,N,Y,41.9519317,-87.6530031
MLS Listing,,Condo/Co-op,711 W Gordon Ter #308,Chicago,IL,60613,235000,2,1.5,CHI - Uptown,1050,,1980,22,224,510,Active,,,http://www.redfin.com/IL/Chicago/711-W-Gordon-Ter-60613/unit-308/home/12795821,MRED,11191777,N,Y,41.9576643,-87.6482805
MLS Listing,,Condo/Co-op,4318 N Clarendon Ave #1820,Chicago,IL,60613,159000,1,1.0,CHI - Uptown,700,,1917,31,227,410,Active,,,http://www.redfin.com/IL/Chicago/4318-N-Clarendon-Ave-60613/unit-1820/home/13393451,MRED,11210911,N,Y,41.9608429,-87.650316
MLS Listing,,Condo/Co-op,3800 N Lake Shore Dr Unit 10B,Chicago,IL,60613,689000,2,2.5,CHI - Lake View,,,1927,198,,1532,Active,,,http://www.redfin.com/IL/Chicago/3800-N-Lake-Shore-Dr-60613/unit-10B/home/13379845,MRED,11031556,N,Y,41.9526534,-87.645509
MLS Listing,,Condo/Co-op,3800 N Lake Shore Dr Unit 3E,Chicago,IL,60613,399900,3,2.0,CHI - Lake View,2150,,1927,1,186,1280,Active,,,http://www.redfin.com/IL/Chicago/3800-N-Lake-Shore-Dr-60613/unit-3E/home/13378929,MRED,11241988,N,Y,41.9526534,-87.645509
MLS Listing,,Condo/Co-op,1025 W Buena Ave Unit 3W,Chicago,IL,60613,435000,3,2.0,CHI - Uptown,1600,,2002,1,272,358,Active,October-9-2021 01:30 PM,October-9-2021 03:30 PM,http://www.redfin.com/IL/Chicago/1025-W-Buena-Ave-60613/unit-3W/home/12701338,MRED,11241763,N,Y,41.958104,-87.655854
MLS Listing,,Condo/Co-op,4311 N Sheridan Rd #404,Chicago,IL,60613,370000,2,2.0,CHI - Uptown,,,2006,1,,329,Active,,,http://www.redfin.com/IL/Chicago/4311-N-Sheridan-Rd-60613/unit-404/home/18919740,MRED,11241568,N,Y,41.9600676,-87.6543982
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2107,Chicago,IL,60613,148000,1,1.0,CHI - Lake View,689,,1973,1,215,422,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2107/home/12728260,MRED,11241419,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,814 W Cuyler Ave Unit 1E,Chicago,IL,60613,399900,3,2.5,CHI - Uptown,2100,,1907,1,190,291,Active,,,http://www.redfin.com/IL/Chicago/814-W-Cuyler-Ave-60613/unit-1E/home/13392483,MRED,11230763,N,Y,41.956125,-87.650485
MLS Listing,,Multi-Family (2-4 Unit),731 W Junior Ter,Chicago,IL,60613,1895000,12,7.0,Buena Park,,6098,1911,1,,,Active,,,http://www.redfin.com/IL/Chicago/731-W-Junior-Ter-60613/home/13397612,MRED,11241381,N,Y,41.9606938,-87.6487485
MLS Listing,,Condo/Co-op,832 W Belle Plaine Ave Unit 1E,Chicago,IL,60613,365000,3,2.0,CHI - Uptown,1700,,1911,1,215,419,Active,October-9-2021 12:00 PM,October-9-2021 01:30 PM,http://www.redfin.com/IL/Chicago/832-W-Belle-Plaine-Ave-60613/unit-1E/home/18928867,MRED,11241063,N,Y,41.9574899,-87.6512886
MLS Listing,,Condo/Co-op,941 W Gordon Ter Unit 1W,Chicago,IL,60613,125000,0,1.0,CHI - Uptown,,,1915,1,,158,Active,,,http://www.redfin.com/IL/Chicago/941-W-Gordon-Ter-60613/unit-1W/home/12671698,MRED,11240371,N,Y,41.9572236,-87.6540221
MLS Listing,,Condo/Co-op,832 W Belle Plaine Ave Unit G,Chicago,IL,60613,319900,3,2.0,CHI - Uptown,1925,,1910,1,166,327,Active,,,http://www.redfin.com/IL/Chicago/832-W-Belle-Plaine-Ave-60613/unit-G/home/18918110,MRED,11240200,N,Y,41.9574899,-87.6512886
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #3017,Chicago,IL,60613,225000,1,1.0,Park Place Tower,840,,1973,2,268,650,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-3017/home/12671519,MRED,11239970,N,Y,41.9543355,-87.6469625
MLS Listing,,Multi-Family (2-4 Unit),4330 N Sheridan Rd,Chicago,IL,60613,1288000,10,6.0,CHI - Uptown,,,1914,2,,,Active,,,http://www.redfin.com/IL/Chicago/4330-N-Sheridan-Rd-60613/home/13393572,MRED,11239747,N,Y,41.9606935,-87.655122
MLS Listing,,Condo/Co-op,728 W Sheridan Rd Unit 1S,Chicago,IL,60613,289900,2,1.0,CHI - Lake View,,,1920,2,,489,Active,,,http://www.redfin.com/IL/Chicago/728-W-Sheridan-Rd-60613/unit-1S/home/12700970,MRED,11239737,N,Y,41.9529662,-87.6490319
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr #1220,Chicago,IL,60613,265000,3,1.5,CHI - Lake View,1200,,,2,221,876,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-1220/home/13381306,MRED,11239706,N,Y,41.954247,-87.6458578
MLS Listing,,Condo/Co-op,711 W Gordon Ter #116,Chicago,IL,60613,249999,2,1.5,CHI - Uptown,1100,,1977,2,227,510,Active,October-9-2021 10:30 AM,October-9-2021 12:00 PM,http://www.redfin.com/IL/Chicago/711-W-Gordon-Ter-60613/unit-116/home/12794941,MRED,11239582,N,Y,41.9576643,-87.6482805
MLS Listing,,Condo/Co-op,4407 N Beacon St Unit 2N,Chicago,IL,60640,445000,3,2.0,CHI - Uptown,,,1908,2,,303,Active,October-9-2021 11:00 AM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/4407-N-Beacon-St-60640/unit-2N/home/13082157,MRED,11239420,N,Y,41.961936,-87.66333
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr #2025,Chicago,IL,60613,189000,2,1.0,CHI - Lake View,1000,,1957,2,189,833,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-2025/home/13380072,MRED,11239236,N,Y,41.954247,-87.6458578
MLS Listing,,Condo/Co-op,4343 N Clarendon Ave #2415,Chicago,IL,60613,149900,1,1.0,CHI - Uptown,812,,1974,2,185,696,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/4343-N-Clarendon-Ave-60613/unit-2415/home/13397316,MRED,11239173,N,Y,41.9612878,-87.6494037
